变量,log_t2,log_dwi,log_swi,age,sex,supra
log_t2,1,0.9894,0.9861,-0.3328,0.0645,0.1775
log_dwi,0.9894,1,0.9946,-0.1937,0.0879,0.0605
log_swi,0.9861,0.9946,1,-0.2602,0.0224,0.171
age,-0.3328,-0.1937,-0.2602,1,-0.307,-0.3374
sex,0.0645,0.0879,0.0224,-0.307,1,-0.1549
supra,0.1775,0.0605,0.171,-0.3374,-0.1549,1
