模型,参数数,最大 R-hat,最小 ESS_bulk,最小 ESS_tail,发散样本数,收敛
A 共因模型,69,1.0117,271.1422,209.5342,113,否
C +直接通路,70,1.0216,212.3051,174.0221,89,否
